"","x"
"1",0.0099009900990099
"2",0.0198019801980198
"3",0.0297029702970297
"4",0.0396039603960396
"5",0.0495049504950495
"6",0.0594059405940594
"7",0.0693069306930693
"8",0.0792079207920792
"9",0.0891089108910891
"10",0.099009900990099
"11",0.108910891089109
"12",0.118811881188119
"13",0.128712871287129
"14",0.138613861386139
"15",0.148514851485149
"16",0.158415841584158
"17",0.168316831683168
"18",0.178217821782178
"19",0.188118811881188
"20",0.198019801980198
"21",0.207920792079208
"22",0.217821782178218
"23",0.227722772277228
"24",0.237623762376238
"25",0.247524752475248
"26",0.257425742574257
"27",0.267326732673267
"28",0.277227722772277
"29",0.287128712871287
"30",0.297029702970297
"31",0.306930693069307
"32",0.316831683168317
"33",0.326732673267327
"34",0.336633663366337
"35",0.346534653465347
"36",0.356435643564356
"37",0.366336633663366
"38",0.376237623762376
"39",0.386138613861386
"40",0.396039603960396
"41",0.405940594059406
"42",0.415841584158416
"43",0.425742574257426
"44",0.435643564356436
"45",0.445544554455446
"46",0.455445544554455
"47",0.465346534653465
"48",0.475247524752475
"49",0.485148514851485
"50",0.495049504950495
"51",0.504950495049505
"52",0.514851485148515
"53",0.524752475247525
"54",0.534653465346535
"55",0.544554455445545
"56",0.554455445544555
"57",0.564356435643564
"58",0.574257425742574
"59",0.584158415841584
"60",0.594059405940594
"61",0.603960396039604
"62",0.613861386138614
"63",0.623762376237624
"64",0.633663366336634
"65",0.643564356435644
"66",0.653465346534653
"67",0.663366336633663
"68",0.673267326732673
"69",0.683168316831683
"70",0.693069306930693
"71",0.702970297029703
"72",0.712871287128713
"73",0.722772277227723
"74",0.732673267326733
"75",0.742574257425743
"76",0.752475247524752
"77",0.762376237623762
"78",0.772277227722772
"79",0.782178217821782
"80",0.792079207920792
"81",0.801980198019802
"82",0.811881188118812
"83",0.821782178217822
"84",0.831683168316832
"85",0.841584158415842
"86",0.851485148514851
"87",0.861386138613861
"88",0.871287128712871
"89",0.881188118811881
"90",0.891089108910891
"91",0.900990099009901
"92",0.910891089108911
"93",0.920792079207921
"94",0.930693069306931
"95",0.940594059405941
"96",0.95049504950495
"97",0.96039603960396
"98",0.97029702970297
"99",0.98019801980198
"100",0.99009900990099
